home,away,home shots,away shots,home goals,away goals
EDM,DAL,29,45,5,6
BOS,BUF,37,28,4,3
NYR,CAR,31,18,1,0
CHI,TOR,34,31,4,0
WPG,PHI,28,23,3,4
WSH,OTT,23,39,2,1
CBJ,NSH,31,35,1,5
FLA,PIT,37,27,4,3
VAN,ARI,40,39,7,1
ANA,SJS,32,32,3,2
LAK,CGY,34,28,3,4
BOS,NSH,25,25,5,3
NJD,CAR,19,33,1,2
NYI,MTL,38,21,1,3
NYR,WSH,27,32,4,2
MIN,PHI,24,30,2,5
DET,BUF,39,16,6,3
TBL,PIT,27,29,4,3
EDM,ARI,27,22,1,5
CHI,WPG,39,26,1,5
DAL,TOR,43,26,0,4
COL,STL,41,26,5,0
BUF,NYI,26,36,4,3
OTT,DET,33,27,2,3
TBL,CAR,38,26,2,1
NYR,NJD,28,20,3,1
PIT,WSH,31,34,0,3
CBJ,BOS,30,28,6,2
MIN,WPG,25,23,3,4
STL,DAL,33,24,3,4
NSH,PHI,38,27,4,1
ARI,ANA,29,36,2,1
COL,CHI,25,33,2,5
CGY,EDM,27,27,4,1
LAK,SJS,29,22,3,1
FLA,TOR,34,22,6,4
ANA,VAN,31,14,2,1
BOS,DET,45,30,5,2
NJD,PIT,27,28,3,1
NYI,WSH,39,26,4,3
CAR,MTL,29,19,1,3
OTT,BUF,36,21,5,2
TBL,TOR,41,23,3,2
STL,COL,25,16,3,0
WPG,MIN,30,31,2,3
CHI,NSH,42,40,5,4
DAL,NYR,27,30,3,2
CGY,LAK,15,27,2,1
ARI,PHI,25,32,4,2
FLA,MTL,37,34,1,2
NSH,STL,47,28,3,2
EDM,LAK,21,39,3,2
SJS,VAN,32,21,1,3
WPG,NYI,23,33,2,5
BUF,TBL,11,25,1,5
BOS,TOR,28,21,3,4
PIT,CAR,39,25,2,1
CBJ,MIN,26,29,3,1
DET,NJD,28,13,3,1
FLA,NYR,20,34,2,5
ANA,SJS,28,27,0,3
DAL,ARI,31,32,6,0
COL,PHI,33,29,4,3
CGY,EDM,28,20,4,3
WSH,CHI,35,35,3,2
VAN,LAK,16,40,2,3
BUF,FLA,30,33,0,2
NJD,MTL,24,26,2,4
PIT,TBL,29,35,6,3
CAR,PHI,26,24,2,1
MIN,TOR,29,35,3,1
COL,EDM,28,28,2,1
CGY,NYI,23,24,1,2
ANA,STL,33,42,4,3
BOS,OTT,28,26,2,3
LAK,NSH,30,25,6,7
NJD,PHI,18,20,5,2
NYR,BUF,39,25,6,1
PIT,MTL,31,33,1,4
WPG,TOR,40,21,5,1
DAL,MIN,35,22,7,1
ARI,CBJ,34,26,6,3
VAN,DET,24,30,4,1
SJS,STL,20,33,2,7
CAR,BOS,36,20,2,1
WSH,FLA,26,32,4,3
OTT,TBL,22,30,2,4
CHI,DAL,38,34,5,4
